Median	Random	Mean	Drop Down
788676	142876	119859	169576
803091	167031	117667	128857
798310	141691	138370	138999
805378	147331	130958	144221
775349	134352	140295	149494
799039	137599	114239	153664
817522	340884	197182	266303
822176	139984	116386	127413
826679	143658	149017	153364
837663	142955	117241	159598
816172	135063	115710	128536
1383404	300825	253788	311629
797820	137186	145118	142433
1377880	206163	166200	194302
820331	154288	116847	130481
839838	138396	144971	139406
792341	141409	118182	151801
795575	139968	116647	136308
778405	145570	123770	157474
815527	148687	117434	180846
818091	142363	117291	131301
950326	168619	136222	161402
832221	138913	118252	140222
1003210	172260	112733	157385
802093	289467	323832	158738
805992	138888	114846	137632
1571330	275870	224905	152260
903379	137149	114523	163796
832508	141942	119087	130546
844253	265444	259795	292238
