Median	Random	Mean	Drop Down
290661717484	136910101	101959208	841033652
288250170242	139526742	99759106	637922096
291943550577	138317947	100925766	797733751
296191756345	135490158	100455227	1073479461
290042580279	137158546	101331765	723391435
288171990182	138908009	100568920	842806455
288381541292	138774585	99972987	775044768
292233023787	140870999	100164842	640678323
293064460111	138672752	100891522	687031168
289041647260	137617890	99987392	795275379
288595517084	134415172	100621319	843797953
287686080805	137082529	98592074	745051006
288893299710	137587894	99194531	812008203
289941791834	138947393	99069789	711453546
288114894843	138810575	98990861	914731783
289853365050	136462060	99856367	1006888407
282862005192	138908699	99268949	703348237
290338649796	137890391	100934439	801411356
289308994692	137471274	99543403	654395532
290573857804	141579025	99916254	888892236
290642485745	137601949	99282685	870691389
292995210718	140650301	101319547	601582596
291447435966	137285455	100402514	736867699
286876436302	138391159	99653275	641005090
289120666248	136983921	101357227	878877108
284416385107	138031386	100900702	704620488
290082476204	134925507	99466992	698453701
284913706946	137015398	99096572	849788335
285139481970	138521688	99164168	647562292
286017418857	135090375	98671847	874603009
